normalized_name,normalized_version,normalized_author,skillhub_candidates,openclawmp_candidates,skillhub_slug,skillhub_name,skillhub_version,skillhub_owner,skillhub_homepage,skillhub_downloads,skillhub_installs,skillhub_stars,openclawmp_id,openclawmp_name,openclawmp_display_name,openclawmp_version,openclawmp_author,openclawmp_asset_url,openclawmp_installs,openclawmp_total_stars,openclawmp_github_stars
adaptive-suite,1.0.0,afajohn,1,1,adaptive-suite,adaptive-suite,1.0.0,afajohn,https://clawhub.ai/afajohn/adaptive-suite,2737,188,3,s-d453e0aadd6ed255,adaptive-suite,Adaptive Suite,1.0.0,afajohn,https://openclawmp.cc/api/v1/assets/s-d453e0aadd6ed255,2,0,0
adaptlypost,1.0.3,tarasshyn,1,1,adaptlypost,AdaptlyPost,1.0.3,tarasshyn,https://clawhub.ai/tarasshyn/adaptlypost,610,7,0,s-81d69cc31a4029d5,adaptlypost,AdaptlyPost,1.0.3,tarasshyn,https://openclawmp.cc/api/v1/assets/s-81d69cc31a4029d5,0,0,0
adguard,0.1.0,rowbotik,1,1,adguard,Adguard,0.1.0,rowbotik,https://clawhub.ai/rowbotik/adguard,2313,79,5,s-bc6ef7a959fa14bb,adguard,Adguard,0.1.0,rowbotik,https://openclawmp.cc/api/v1/assets/s-bc6ef7a959fa14bb,1,5,5
aetherlang,9.9.11,contrario,1,1,aetherlang,AetherLang,9.9.11,contrario,https://clawhub.ai/contrario/aetherlang,1162,18,2,s-c7d9e73e1e8596a1,aetherlang,AetherLang,9.9.11,contrario,https://openclawmp.cc/api/v1/assets/s-c7d9e73e1e8596a1,0,0,0
agentbench,1.0.0,exe215,1,1,agentbench,AgentBench,1.0.0,exe215,https://clawhub.ai/exe215/agentbench,369,16,1,s-bf40b3e2555ab9fd,agentbench,AgentBench,1.0.0,exe215,https://openclawmp.cc/api/v1/assets/s-bf40b3e2555ab9fd,0,0,0
agentcli-go,1.0.0,gh-xj,1,1,agentcli-go,agentcli-go,1.0.0,gh-xj,https://clawhub.ai/gh-xj/agentcli-go,317,4,0,s-41831e612afc66da,agentcli-go,Agentcli Go,1.0.0,gh-xj,https://openclawmp.cc/api/v1/assets/s-41831e612afc66da,0,0,0
agentdo,1.0.0,wrannaman,1,1,agentdo,AgentDo,1.0.0,wrannaman,https://clawhub.ai/wrannaman/agentdo,490,9,0,s-44eff5976604a458,agentdo,AgentDo,1.0.0,wrannaman,https://openclawmp.cc/api/v1/assets/s-44eff5976604a458,0,0,0
agentlens,1.0.0,nguyenphutrong,1,1,agentlens,Agentlens,1.0.0,nguyenphutrong,https://clawhub.ai/nguyenphutrong/agentlens,3957,314,3,s-255c61091b007385,agentlens,Agentlens,1.0.0,nguyenphutrong,https://openclawmp.cc/api/v1/assets/s-255c61091b007385,0,0,0
agentmail,1.1.1,adboio,1,1,agentmail,AgentMail,1.1.1,adboio,https://clawhub.ai/adboio/agentmail,18613,251,45,s-21bde80ea584092a,agentmail,AgentMail,1.1.1,adboio,https://openclawmp.cc/api/v1/assets/s-21bde80ea584092a,1,0,0
agentpin,1.0.0,jaschadub,1,1,agentpin,AgentPin,1.0.0,jaschadub,https://clawhub.ai/jaschadub/agentpin,476,18,2,s-3e500ff68564bebd,agentpin,AgentPin,1.0.0,jaschadub,https://openclawmp.cc/api/v1/assets/s-3e500ff68564bebd,1,0,0
agentskills-io,2.5.0,killerapp,1,1,agentskills-io,agentskills-io,2.5.0,killerapp,https://clawhub.ai/killerapp/agentskills-io,1989,57,2,s-1145e7b031e2274a,agentskills-io,Agentskills Io,2.5.0,killerapp,https://openclawmp.cc/api/v1/assets/s-1145e7b031e2274a,0,2,2
agentsmint,1.0.1,kit-the-fox,1,1,agentsmint,Agentsmint,1.0.1,kit-the-fox,https://clawhub.ai/kit-the-fox/agentsmint,1308,12,1,s-f817a303e53ad8c7,agentsmint,Agentsmint,1.0.1,kit-the-fox,https://openclawmp.cc/api/v1/assets/s-f817a303e53ad8c7,3,1,0
ai-news-oracle,1.0.0,swimmingkiim,1,1,ai-news-oracle,ai-news-oracle,1.0.0,swimmingkiim,https://clawhub.ai/swimmingkiim/ai-news-oracle,2830,169,1,s-fe5ac4215be33c2d,ai-news-oracle,Ai News Oracle,1.0.0,swimmingkiim,https://openclawmp.cc/api/v1/assets/s-fe5ac4215be33c2d,0,1,1
ai-review,1.0.0,blackshady1130-jpg,1,1,ai-review,AI-review,1.0.0,blackshady1130-jpg,https://clawhub.ai/blackshady1130-jpg/ai-review,387,11,0,s-0e91864b006ec1bf,ai-review,AI-review,1.0.0,blackshady1130-jpg,https://openclawmp.cc/api/v1/assets/s-0e91864b006ec1bf,2,0,0
aiprox,3.0.0,yebdmo2,1,1,aiprox,Aiprox,3.0.0,yebdmo2,https://clawhub.ai/yebdmo2/aiprox,414,8,0,s-73cdc7e3ddd1eeba,aiprox,Aiprox,3.0.0,yebdmo2,https://openclawmp.cc/api/v1/assets/s-73cdc7e3ddd1eeba,1,0,0
airfoil,1.0.1,asteinberger,1,1,airfoil,Airfoil,1.0.1,asteinberger,https://clawhub.ai/asteinberger/airfoil,1839,17,0,s-51c376c694ab141d,airfoil,Airfoil,1.0.1,asteinberger,https://openclawmp.cc/api/v1/assets/s-51c376c694ab141d,0,0,0
airpoint,1.3.16,marioandf,1,1,airpoint,Airpoint,1.3.16,marioandf,https://clawhub.ai/marioandf/airpoint,1125,27,2,s-56f771c542d2c6e1,airpoint,Airpoint,1.3.16,marioandf,https://openclawmp.cc/api/v1/assets/s-56f771c542d2c6e1,0,0,0
aisp,2.0.2,daveo280,1,1,aisp,AISP,2.0.2,daveo280,https://clawhub.ai/daveo280/aisp,597,6,0,s-8cfbd0ff10cfe260,aisp,AISP,2.0.2,daveo280,https://openclawmp.cc/api/v1/assets/s-8cfbd0ff10cfe260,0,0,0
alexandrie,1.0.0,eth3rnit3,1,1,alexandrie,Alexandrie,1.0.0,eth3rnit3,https://clawhub.ai/eth3rnit3/alexandrie,1857,17,2,s-114c142cbf199aeb,alexandrie,Alexandrie,1.0.0,eth3rnit3,https://openclawmp.cc/api/v1/assets/s-114c142cbf199aeb,1,2,2
anthropology,0.1.1,networktheoryappliedresearchinstitute,1,1,anthropology,Anthropology,0.1.1,networktheoryappliedresearchinstitute,https://clawhub.ai/networktheoryappliedresearchinstitute/anthropology,1805,48,1,s-0788cd1c45d33cdf,anthropology,Anthropology,0.1.1,networktheoryappliedresearchinstitute,https://openclawmp.cc/api/v1/assets/s-0788cd1c45d33cdf,1,0,0
antivirus,6.8.20,thomaslwang,1,1,antivirus,Antivirus,6.8.20,thomaslwang,https://clawhub.ai/thomaslwang/antivirus,1668,18,1,s-775b2518670f89f6,antivirus,Antivirus,6.8.20,thomaslwang,https://openclawmp.cc/api/v1/assets/s-775b2518670f89f6,1,0,0
arr-all,1.0.0,rappo,1,1,arr-all,arr-all,1.0.0,rappo,https://clawhub.ai/rappo/arr-all,1063,24,2,s-19a61a34f7f71ce5,arr-all,Arr All,1.0.0,rappo,https://openclawmp.cc/api/v1/assets/s-19a61a34f7f71ce5,2,3,2
arxivkb,1.0.1,camopel,1,1,arxivkb,arxivkb,1.0.1,camopel,https://clawhub.ai/camopel/arxivkb,420,25,0,s-1df309b4e84ccdbe,arxivkb,Arxivkb,1.0.1,camopel,https://openclawmp.cc/api/v1/assets/s-1df309b4e84ccdbe,4,1,0
asana,1.0.0,k0nkupa,1,1,asana,Asana,1.0.0,k0nkupa,https://clawhub.ai/k0nkupa/asana,3428,38,2,s-dc4dc57d4e37afcb,asana,Asana,1.0.0,k0nkupa,https://openclawmp.cc/api/v1/assets/s-dc4dc57d4e37afcb,2,0,0
askhuman,1.0.0,hagiss,1,1,askhuman,AskHuman,1.0.0,hagiss,https://clawhub.ai/hagiss/askhuman,495,18,0,s-8c411ad655a764ea,askhuman,AskHuman,1.0.0,hagiss,https://openclawmp.cc/api/v1/assets/s-8c411ad655a764ea,0,0,0
astranova,2.0.0,fermartz,1,1,astranova,Astranova,2.0.0,fermartz,https://clawhub.ai/fermartz/astranova,503,4,0,s-3ff432071aa793d5,astranova,Astranova,2.0.0,fermartz,https://openclawmp.cc/api/v1/assets/s-3ff432071aa793d5,0,0,0
atonement,1.0.1,otherpowers,1,1,atonement,Atonement,1.0.1,otherpowers,https://clawhub.ai/otherpowers/atonement,900,27,0,s-3f9c141bce6bcc2b,atonement,Atonement,1.0.1,otherpowers,https://openclawmp.cc/api/v1/assets/s-3f9c141bce6bcc2b,0,0,0
atris,1.1.0,keshav55,1,1,atris,Atris,1.1.0,keshav55,https://clawhub.ai/keshav55/atris,1034,28,0,s-e44882e639e36741,atris,Atris,1.1.0,keshav55,https://openclawmp.cc/api/v1/assets/s-e44882e639e36741,3,0,0
audiomind,3.3.0,wells1137,1,1,audiomind,Audiomind,3.3.0,wells1137,https://clawhub.ai/wells1137/audiomind,462,26,5,s-01e8232eb41cfcc4,audiomind,Audiomind,3.3.0,wells1137,https://openclawmp.cc/api/v1/assets/s-01e8232eb41cfcc4,1,0,0
audiopod,1.2.3,rakesh1002,1,1,audiopod,AudioPod,1.2.3,rakesh1002,https://clawhub.ai/rakesh1002/audiopod,3097,322,3,s-79c58ad31f3b0de4,audiopod,AudioPod,1.2.3,rakesh1002,https://openclawmp.cc/api/v1/assets/s-79c58ad31f3b0de4,7,5,3
authy,0.3.0,eric8810,1,1,authy,Authy,0.3.0,eric8810,https://clawhub.ai/eric8810/authy,476,2,2,s-468f38f4e1f21cdf,authy,Authy,0.3.0,eric8810,https://openclawmp.cc/api/v1/assets/s-468f38f4e1f21cdf,2,2,2
auto-drive,1.0.4,emilfattakhov,1,1,auto-drive,auto-drive,1.0.4,emilfattakhov,https://clawhub.ai/emilfattakhov/auto-drive,466,5,1,s-25ab46ae29f8d360,auto-drive,Auto Drive,1.0.4,emilfattakhov,https://openclawmp.cc/api/v1/assets/s-25ab46ae29f8d360,0,1,1
autobahn,0.0.11,unifiedh,1,1,autobahn,Autobahn,0.0.11,unifiedh,https://clawhub.ai/unifiedh/autobahn,1327,33,0,s-127a49a6ad457583,autobahn,Autobahn,0.0.11,unifiedh,https://openclawmp.cc/api/v1/assets/s-127a49a6ad457583,0,0,0
bagsworld,1.0.0,aiengineerx,1,1,bagsworld,BagsWorld,1.0.0,aiengineerx,https://clawhub.ai/aiengineerx/bagsworld,795,8,0,s-7eec0136c17bcbb8,bagsworld,BagsWorld,1.0.0,aiengineerx,https://openclawmp.cc/api/v1/assets/s-7eec0136c17bcbb8,0,0,0
baseball,0.1.2,khaney64,1,1,baseball,Baseball,0.1.2,khaney64,https://clawhub.ai/khaney64/baseball,409,6,0,s-f9605d67da42542a,baseball,棒球,0.1.2,khaney64,https://openclawmp.cc/api/v1/assets/s-f9605d67da42542a,2,0,0
basecred,1.0.0,callmedas69,1,1,basecred,BaseCred,1.0.0,callmedas69,https://clawhub.ai/callmedas69/basecred,1388,12,3,s-7bd1dd5755939e0e,basecred,BaseCred,1.0.0,callmedas69,https://openclawmp.cc/api/v1/assets/s-7bd1dd5755939e0e,0,0,0
beauty-generation-api,1.2.42,luruibu,1,1,beauty-generation-api,beauty-generation-api,1.2.42,luruibu,https://clawhub.ai/luruibu/beauty-generation-api,5678,1072,7,s-99934f9720d97d58,beauty-generation-api,Beauty Generation Api,1.2.42,luruibu,https://openclawmp.cc/api/v1/assets/s-99934f9720d97d58,4,0,0
bioskills,3.0.0,djemec,1,1,bioskills,BioSkills,3.0.0,djemec,https://clawhub.ai/djemec/bioskills,804,35,4,s-97857463a4bb54a1,bioskills,BioSkills,3.0.0,djemec,https://openclawmp.cc/api/v1/assets/s-97857463a4bb54a1,3,0,0
birdfolio,1.0.0,tonbistudio,1,1,birdfolio,Birdfolio,1.0.0,tonbistudio,https://clawhub.ai/tonbistudio/birdfolio,431,10,0,s-e9d03d913aa6c5ce,birdfolio,Birdfolio,1.0.0,tonbistudio,https://openclawmp.cc/api/v1/assets/s-e9d03d913aa6c5ce,1,0,0
bitnote,1.0.2,rockwellshah,1,1,bitnote,BitNote,1.0.2,rockwellshah,https://clawhub.ai/rockwellshah/bitnote,332,2,0,s-dd7f8814e36cb9f9,bitnote,BitNote,1.0.2,rockwellshah,https://openclawmp.cc/api/v1/assets/s-dd7f8814e36cb9f9,0,0,0
botbrag,1.0.0,elstob,1,1,botbrag,BotBrag,1.0.0,elstob,https://clawhub.ai/elstob/botbrag,410,8,2,s-ae4699e3871b487f,botbrag,BotBrag,1.0.0,elstob,https://openclawmp.cc/api/v1/assets/s-ae4699e3871b487f,4,3,2
brainrepo,1.0.0,codezz,1,1,brainrepo,BrainRepo,1.0.0,codezz,https://clawhub.ai/codezz/brainrepo,2079,77,3,s-048514d4e1586f94,brainrepo,BrainRepo,1.0.0,codezz,https://openclawmp.cc/api/v1/assets/s-048514d4e1586f94,1,0,0
brevo,1.0.0,yujesyoga,1,1,brevo,Brevo,1.0.0,yujesyoga,https://clawhub.ai/yujesyoga/brevo,2039,21,3,s-e42ec45e0028876e,brevo,Brevo,1.0.0,yujesyoga,https://openclawmp.cc/api/v1/assets/s-e42ec45e0028876e,2,0,0
browsh,1.0.0,gumadeiras,1,1,browsh,browsh,1.0.0,gumadeiras,https://clawhub.ai/gumadeiras/browsh,7227,730,8,s-a8482074284ece11,browsh,Browsh,1.0.0,gumadeiras,https://openclawmp.cc/api/v1/assets/s-a8482074284ece11,0,0,0
byterover,2.0.0,byteroverinc,1,1,byterover,ByteRover,2.0.0,byteroverinc,https://clawhub.ai/byteroverinc/byterover,29806,199,98,s-127308430dc1b6c1,byterover,ByteRover 知识管理,2.0.0,byteroverinc,https://openclawmp.cc/api/v1/assets/s-127308430dc1b6c1,9,2,0
calcurse,1.0.0,gumadeiras,1,1,calcurse,calcurse,1.0.0,gumadeiras,https://clawhub.ai/gumadeiras/calcurse,2016,27,1,s-6d37f5ade6e9322b,calcurse,Calcurse,1.0.0,gumadeiras,https://openclawmp.cc/api/v1/assets/s-6d37f5ade6e9322b,0,0,0
calendar,1.0.0,ndcccccc,1,1,calendar,Calendar,1.0.0,ndcccccc,https://clawhub.ai/ndcccccc/calendar,8242,1121,1,s-3ee5334f5eb638f2,calendar,Calendar,1.0.0,ndcccccc,https://openclawmp.cc/api/v1/assets/s-3ee5334f5eb638f2,3,1,0
camera,1.0.0,therohitdas,1,1,camera,Camera,1.0.0,therohitdas,https://clawhub.ai/therohitdas/camera,1262,27,0,s-e65dc51586b863ea,camera,Camera,1.0.0,therohitdas,https://openclawmp.cc/api/v1/assets/s-e65dc51586b863ea,1,0,0
camoufox,1.0.0,goodgoodjm,1,1,camoufox,Camoufox,1.0.0,goodgoodjm,https://clawhub.ai/goodgoodjm/camoufox,2323,128,1,s-793de045d35155e7,camoufox,Camoufox,1.0.0,goodgoodjm,https://openclawmp.cc/api/v1/assets/s-793de045d35155e7,0,1,1
camsnap,1.0.0,steipete,1,1,camsnap,Camsnap,1.0.0,steipete,https://clawhub.ai/steipete/camsnap,11485,968,9,s-87ea618f9880b8f1,camsnap,摄像头快照,1.0.0,steipete,https://openclawmp.cc/api/v1/assets/s-87ea618f9880b8f1,1,0,0
cashu,0.19.6,a1denvalu3,1,1,cashu,Cashu,0.19.6,a1denvalu3,https://clawhub.ai/a1denvalu3/cashu,730,10,2,s-4fcbd3ae9cb1db17,cashu,Cashu,0.19.6,a1denvalu3,https://openclawmp.cc/api/v1/assets/s-4fcbd3ae9cb1db17,0,0,0
catallax,1.0.0,kai-familiar,1,1,catallax,Catallax,1.0.0,kai-familiar,https://clawhub.ai/kai-familiar/catallax,771,11,2,s-0d23f2c5a33be2b6,catallax,Catallax,1.0.0,kai-familiar,https://openclawmp.cc/api/v1/assets/s-0d23f2c5a33be2b6,1,2,2
catime,0.5.0,yazelin,1,1,catime,catime,0.5.0,yazelin,https://clawhub.ai/yazelin/catime,860,32,0,s-888c7345cb531772,catime,Catime,0.5.0,yazelin,https://openclawmp.cc/api/v1/assets/s-888c7345cb531772,0,0,0
charts,1.1.0,ryandeangraves,1,1,charts,Charts,1.1.0,ryandeangraves,https://clawhub.ai/ryandeangraves/charts,733,16,0,s-65b630e30251bf03,charts,Charts,1.1.0,ryandeangraves,https://openclawmp.cc/api/v1/assets/s-65b630e30251bf03,0,0,0
chilledsites,1.0.0,paulgosnell,1,1,chilledsites,ChilledSites,1.0.0,paulgosnell,https://clawhub.ai/paulgosnell/chilledsites,812,6,0,s-577d43c55921dd63,chilledsites,ChilledSites,1.0.0,paulgosnell,https://openclawmp.cc/api/v1/assets/s-577d43c55921dd63,1,0,0
chinese-ai-agent-guide,1.0.0,gmsx000-cloud,1,1,chinese-ai-agent-guide,chinese-ai-agent-guide,1.0.0,gmsx000-cloud,https://clawhub.ai/gmsx000-cloud/chinese-ai-agent-guide,733,216,1,s-168baa374751170e,chinese-ai-agent-guide,Chinese Ai Agent Guide,1.0.0,gmsx000-cloud,https://openclawmp.cc/api/v1/assets/s-168baa374751170e,6,0,0
clanker,1.0.0,spirosrap,1,1,clanker,Clanker,1.0.0,spirosrap,https://clawhub.ai/spirosrap/clanker,1486,22,0,s-b7b9b427cd4eae64,clanker,Clanker,1.0.0,spirosrap,https://openclawmp.cc/api/v1/assets/s-b7b9b427cd4eae64,1,0,0
claude-usage-cli,0.2.0,cyberash-dev,1,1,claude-usage-cli,claude-usage-cli,0.2.0,cyberash-dev,https://clawhub.ai/cyberash-dev/claude-usage-cli,867,14,0,s-27fcc1879561303f,claude-usage-cli,Claude Usage Cli,0.2.0,cyberash-dev,https://openclawmp.cc/api/v1/assets/s-27fcc1879561303f,3,0,0
clawdbot-macos-build,1.0.0,manish-basargekar,1,1,clawdbot-macos-build,clawdbot-macos-build,1.0.0,manish-basargekar,https://clawhub.ai/manish-basargekar/clawdbot-macos-build,1821,25,1,s-7152c5f5238b6d86,clawdbot-macos-build,Clawdbot Macos Build,1.0.0,manish-basargekar,https://openclawmp.cc/api/v1/assets/s-7152c5f5238b6d86,0,0,0
clawder,1.0.1,assassin808,1,1,clawder,clawder,1.0.1,assassin808,https://clawhub.ai/assassin808/clawder,1872,33,0,s-0bc2ee3ea75c2152,clawder,Clawder,1.0.1,assassin808,https://openclawmp.cc/api/v1/assets/s-0bc2ee3ea75c2152,2,0,0
clawquests,1.0.2,lellol12,1,1,clawquests,Clawquests,1.0.2,lellol12,https://clawhub.ai/lellol12/clawquests,1932,37,5,s-deac927091d04d99,clawquests,Clawquests,1.0.2,lellol12,https://openclawmp.cc/api/v1/assets/s-deac927091d04d99,1,0,0
client-flow,1.0.0,ariktulcha,1,1,client-flow,client-flow,1.0.0,ariktulcha,https://clawhub.ai/ariktulcha/client-flow,474,4,0,s-3019580938d69e00,client-flow,Client Flow,1.0.0,ariktulcha,https://openclawmp.cc/api/v1/assets/s-3019580938d69e00,0,0,0
clipboard,1.0.0,xejrax,1,1,clipboard,Clipboard,1.0.0,xejrax,https://clawhub.ai/xejrax/clipboard,2535,95,1,s-9d20d8549db198e2,clipboard,Clipboard,1.0.0,xejrax,https://openclawmp.cc/api/v1/assets/s-9d20d8549db198e2,0,0,0
cloudmonkey,1.0.0,kiranchavala,1,1,cloudmonkey,cloudmonkey,1.0.0,kiranchavala,https://clawhub.ai/kiranchavala/cloudmonkey,456,6,0,s-79197fd59fbcc0c9,cloudmonkey,Cloudmonkey,1.0.0,kiranchavala,https://openclawmp.cc/api/v1/assets/s-79197fd59fbcc0c9,0,0,0
clovercli,1.0.0,g9pedro,1,1,clovercli,Clovercli,1.0.0,g9pedro,https://clawhub.ai/g9pedro/clovercli,1273,17,1,s-f1ff6e5c487ab0c4,clovercli,Clovercli,1.0.0,g9pedro,https://openclawmp.cc/api/v1/assets/s-f1ff6e5c487ab0c4,1,1,1
codifica,1.0.1,davidedicillo,1,1,codifica,Codifica,1.0.1,davidedicillo,https://clawhub.ai/davidedicillo/codifica,384,14,0,s-9f67b74c989d80e5,codifica,Codifica,1.0.1,davidedicillo,https://openclawmp.cc/api/v1/assets/s-9f67b74c989d80e5,1,0,0
coinfello,0.2.1,brettcleary,1,1,coinfello,CoinFello,0.2.1,brettcleary,https://clawhub.ai/brettcleary/coinfello,570,9,0,s-5983fdf2cd50be45,coinfello,CoinFello,0.2.1,brettcleary,https://openclawmp.cc/api/v1/assets/s-5983fdf2cd50be45,0,0,0
colorkit,0.1.0,szpakkamil,1,1,colorkit,ColorKit,0.1.0,szpakkamil,https://clawhub.ai/szpakkamil/colorkit,783,9,0,s-827d6e36850fe636,colorkit,ColorKit,0.1.0,szpakkamil,https://openclawmp.cc/api/v1/assets/s-827d6e36850fe636,0,0,0
colormind,1.1.1,boilerrat,1,1,colormind,Colormind,1.1.1,boilerrat,https://clawhub.ai/boilerrat/colormind,516,19,0,s-e1980fb408d52c28,colormind,色彩智脑,1.1.1,boilerrat,https://openclawmp.cc/api/v1/assets/s-e1980fb408d52c28,2,0,0
comfyui,1.0.1,kelvincai522,1,1,comfyui,ComfyUI,1.0.1,kelvincai522,https://clawhub.ai/kelvincai522/comfyui,2498,134,0,s-58fe87a7a2a8de20,comfyui,ComfyUI,1.0.1,kelvincai522,https://openclawmp.cc/api/v1/assets/s-58fe87a7a2a8de20,2,0,0
comment-converter,1.0.1,xammarie,1,1,comment-converter,comment-converter,1.0.1,xammarie,https://clawhub.ai/xammarie/comment-converter,428,6,0,s-f304cfe22d852f9e,comment-converter,Comment Converter,1.0.1,xammarie,https://openclawmp.cc/api/v1/assets/s-f304cfe22d852f9e,0,0,0
conclave,2.48.0,rxbt,1,1,conclave,conclave,2.48.0,rxbt,https://clawhub.ai/rxbt/conclave,3151,404,0,s-9a93a6cb97ef0b4e,conclave,Conclave,2.48.0,rxbt,https://openclawmp.cc/api/v1/assets/s-9a93a6cb97ef0b4e,1,0,0
consilium,1.1.0,morozsm,1,1,consilium,Consilium,1.1.0,morozsm,https://clawhub.ai/morozsm/consilium,308,9,2,s-c4cb99a78e1cc5f5,consilium,Consilium,1.1.0,morozsm,https://openclawmp.cc/api/v1/assets/s-c4cb99a78e1cc5f5,0,0,0
copyku,1.5.1,khamalismadie,1,1,copyku,Copyku,1.5.1,khamalismadie,https://clawhub.ai/khamalismadie/copyku,470,21,0,s-12ae06281b210532,copyku,Copyku,1.5.1,khamalismadie,https://openclawmp.cc/api/v1/assets/s-12ae06281b210532,0,0,0
crawl4ai,1.0.0,codylrn804,1,1,crawl4ai,Crawl4ai,1.0.0,codylrn804,https://clawhub.ai/codylrn804/crawl4ai,1545,83,2,s-66c1f5e27367eec8,crawl4ai,Crawl4ai,1.0.0,codylrn804,https://openclawmp.cc/api/v1/assets/s-66c1f5e27367eec8,0,0,0
crustafarianism,1.2.3,dvdegenz,1,1,crustafarianism,Crustafarianism,1.2.3,dvdegenz,https://clawhub.ai/dvdegenz/crustafarianism,2125,54,1,s-b16db47b7816adfb,crustafarianism,Crustafarianism,1.2.3,dvdegenz,https://openclawmp.cc/api/v1/assets/s-b16db47b7816adfb,1,1,1
dataforseo-cli,1.0.7,alexgusevski,1,1,dataforseo-cli,dataforseo-cli,1.0.7,alexgusevski,https://clawhub.ai/alexgusevski/dataforseo-cli,464,4,2,s-ef50688aba740e56,dataforseo-cli,Dataforseo Cli,1.0.7,alexgusevski,https://openclawmp.cc/api/v1/assets/s-ef50688aba740e56,2,0,0
ddgs-search,1.2.0,camopel,1,1,ddgs-search,ddgs-search,1.2.0,camopel,https://clawhub.ai/camopel/ddgs-search,792,12,2,s-ace7ff7df64afbe8,ddgs-search,Ddgs Search,1.2.0,camopel,https://openclawmp.cc/api/v1/assets/s-ace7ff7df64afbe8,43,14,0
