normalized_name,skillhub_candidates,openclawmp_candidates,skillhub_slug,skillhub_name,skillhub_version,skillhub_downloads,skillhub_installs,skillhub_stars,skillhub_owner,openclawmp_id,openclawmp_name,openclawmp_display_name,openclawmp_version,openclawmp_installs,openclawmp_total_stars,openclawmp_github_stars,openclawmp_author
bioskills,1,1,bioskills,BioSkills,3.0.0,804,35,4,djemec,s-97857463a4bb54a1,bioskills,BioSkills,3.0.0,3,0,0,djemec
birdfolio,1,1,birdfolio,Birdfolio,1.0.0,431,10,0,tonbistudio,s-e9d03d913aa6c5ce,birdfolio,Birdfolio,1.0.0,1,0,0,tonbistudio
bitnote,1,1,bitnote,BitNote,1.0.2,332,2,0,rockwellshah,s-dd7f8814e36cb9f9,bitnote,BitNote,1.0.2,0,0,0,rockwellshah
blackjack,1,1,blackjack,blackjack,0.3.2,357,5,1,stainlu,s-73323ce3bfe62457,blackjack,blackjack,0.2.8,9,2,0,emil-agent
boltzpay,1,1,boltzpay,BoltzPay,0.1.2,149,3,0,leventilo,s-386517c4c67538b3,boltzpay,Boltzpay,1.0.0,0,0,0,tree
botbrag,1,1,botbrag,BotBrag,1.0.0,410,8,2,elstob,s-ae4699e3871b487f,botbrag,BotBrag,1.0.0,4,3,2,elstob
botworld,1,1,botworld,BotWorld,1.2.1,516,3,0,alphafanx,s-a7ad88a0ff0935bc,botworld,Botworld,1.0.0,0,0,0,tree
brainrepo,1,1,brainrepo,BrainRepo,1.0.0,2079,77,3,codezz,s-048514d4e1586f94,brainrepo,BrainRepo,1.0.0,1,0,0,codezz
brevo,3,1,brevo-api,Brevo,1.0.2,3427,179,3,byungkyu,s-e42ec45e0028876e,brevo,Brevo,1.0.0,2,0,0,yujesyoga
briefing,1,1,briefing-skill,briefing,1.0.9,265,18,0,yutaigu,s-177061fde8cfbc2f,briefing,"Briefing (Calendar Agenda, Weather, Pending To-Dos)",2.1.0,0,0,0,lstpsche
browsh,1,1,browsh,browsh,1.0.0,7227,730,8,gumadeiras,s-a8482074284ece11,browsh,Browsh,1.0.0,0,0,0,gumadeiras
budget,1,1,budget-pro,Budget,2.1.0,162,6,0,agistack,s-4e3e10e58dae65c2,budget,Budget,1.0.0,0,0,0,tree
buildlog,1,1,buildlog,buildlog,1.0.1,2472,82,0,espetey,s-3eb08ca9aa5809e7,buildlog,Buildlog,1.0.0,0,0,0,tree
byterover,1,1,byterover,ByteRover,2.0.0,29806,199,98,byteroverinc,s-127308430dc1b6c1,byterover,ByteRover 知识管理,2.0.0,9,2,0,byteroverinc
calcom,1,1,calcom-integration,Calcom,1.0.0,122,2,0,membranedev,s-089ed6bd5aeb778b,calcom,Cal.com,1.0.0,1,0,0,peerrich
calcurse,1,1,calcurse,calcurse,1.0.0,2016,27,1,gumadeiras,s-6d37f5ade6e9322b,calcurse,Calcurse,1.0.0,0,0,0,gumadeiras
calendar,3,1,calendar,Calendar,1.0.0,8242,1121,1,ndcccccc,s-3ee5334f5eb638f2,calendar,Calendar,1.0.0,3,1,0,ndcccccc
calmly,1,1,calmly,calmly,1.3.0,452,7,0,halbotley,s-450877de791954c1,calmly,Calmly,1.0.0,0,0,0,tree
camera,1,1,camera,Camera,1.0.0,1262,27,0,therohitdas,s-e65dc51586b863ea,camera,Camera,1.0.0,1,0,0,therohitdas
camoufox,1,1,camoufox,Camoufox,1.0.0,2323,128,1,goodgoodjm,s-793de045d35155e7,camoufox,Camoufox,1.0.0,0,1,1,goodgoodjm
camsnap,1,1,camsnap,Camsnap,1.0.0,11485,968,9,steipete,s-87ea618f9880b8f1,camsnap,摄像头快照,1.0.0,1,0,0,steipete
cashu,1,1,cashu,Cashu,0.19.6,730,10,2,a1denvalu3,s-4fcbd3ae9cb1db17,cashu,Cashu,0.19.6,0,0,0,a1denvalu3
catallax,1,1,catallax,Catallax,1.0.0,771,11,2,kai-familiar,s-0d23f2c5a33be2b6,catallax,Catallax,1.0.0,1,2,2,kai-familiar
catime,1,1,catime,catime,0.5.0,860,32,0,yazelin,s-888c7345cb531772,catime,Catime,0.5.0,0,0,0,yazelin
charts,2,1,charts,Charts,1.1.0,733,16,0,ryandeangraves,s-65b630e30251bf03,charts,Charts,1.1.0,0,0,0,ryandeangraves
chilledsites,1,1,chilledsites,ChilledSites,1.0.0,812,6,0,paulgosnell,s-577d43c55921dd63,chilledsites,ChilledSites,1.0.0,1,0,0,paulgosnell
chinese-ai-agent-guide,1,1,chinese-ai-agent-guide,chinese-ai-agent-guide,1.0.0,733,216,1,gmsx000-cloud,s-168baa374751170e,chinese-ai-agent-guide,Chinese Ai Agent Guide,1.0.0,6,0,0,gmsx000-cloud
chitin,2,1,chitin,Chitin,1.1.0,2525,300,1,morpheis,s-7ae9e0eaa868255d,chitin,Chitin,1.0.5,0,0,0,morpheis
churn-prevention,1,1,cs-churn-prevention,churn-prevention,1.0.0,116,5,0,alirezarezvani,s-3d285715e618e7da,churn-prevention,客户流失预防,1.3.0,9,11797,11794,coreyhaines31
clanker,1,1,clanker,Clanker,1.0.0,1486,22,0,spirosrap,s-b7b9b427cd4eae64,clanker,Clanker,1.0.0,1,0,0,spirosrap
claude-usage-cli,1,1,claude-usage-cli,claude-usage-cli,0.2.0,867,14,0,cyberash-dev,s-27fcc1879561303f,claude-usage-cli,Claude Usage Cli,0.2.0,3,0,0,cyberash-dev
clawaudit,1,1,clawaudit,Clawaudit,0.1.0,1554,17,1,tezatezaz,s-5c575b2a99b1c911,clawaudit,Clawaudit,1.0.0,0,0,0,tree
clawdbot-macos-build,1,1,clawdbot-macos-build,clawdbot-macos-build,1.0.0,1821,25,1,manish-basargekar,s-7152c5f5238b6d86,clawdbot-macos-build,Clawdbot Macos Build,1.0.0,0,0,0,manish-basargekar
clawder,1,1,clawder,clawder,1.0.1,1872,33,0,assassin808,s-0bc2ee3ea75c2152,clawder,Clawder,1.0.1,2,0,0,assassin808
clawdgigs,1,1,clawdgigs,Clawdgigs,1.4.0,2448,339,0,benniethedev,s-2b57ae1dc26be840,clawdgigs,Clawdgigs,1.0.0,0,0,0,tree
clawemail,2,1,clawemail,Clawemail,1.0.1,1402,27,0,cto1,s-2ed1bf84341713e2,clawemail,Clawemail,1.0.0,0,0,0,tree
clawfriend,1,1,clawfriend,ClawFriend,1.1.2,2877,137,0,clawfriend-ai,s-90ade108a30bf954,clawfriend,ClawFriend,1.1.0,1,0,0,leeknowsai
clawgang,1,1,clawgang,ClawGang,1.0.1,1601,22,1,syslink,s-2970395f62aac948,clawgang,Clawgang,1.0.0,0,0,0,tree
clawquests,2,1,clawquests,Clawquests,1.0.2,1932,37,5,lellol12,s-deac927091d04d99,clawquests,Clawquests,1.0.2,1,0,0,lellol12
client-flow,1,1,client-flow,client-flow,1.0.0,474,4,0,ariktulcha,s-3019580938d69e00,client-flow,Client Flow,1.0.0,0,0,0,ariktulcha
clipboard,1,1,clipboard,Clipboard,1.0.0,2535,95,1,xejrax,s-9d20d8549db198e2,clipboard,Clipboard,1.0.0,0,0,0,xejrax
cloudmonkey,1,1,cloudmonkey,cloudmonkey,1.0.0,456,6,0,kiranchavala,s-79197fd59fbcc0c9,cloudmonkey,Cloudmonkey,1.0.0,0,0,0,kiranchavala
clovercli,1,1,clovercli,Clovercli,1.0.0,1273,17,1,g9pedro,s-f1ff6e5c487ab0c4,clovercli,Clovercli,1.0.0,1,1,1,g9pedro
code-reviewer,1,1,cs-code-reviewer,code-reviewer,1.0.0,158,21,0,alirezarezvani,s-05908b3d7bd3f451,code-reviewer,code-reviewer,1.0.0,26,6,0,zhangjingwen2008
codifica,1,1,codifica,Codifica,1.0.1,384,14,0,davidedicillo,s-9f67b74c989d80e5,codifica,Codifica,1.0.1,1,0,0,davidedicillo
coinfello,1,1,coinfello,CoinFello,0.2.1,570,9,0,brettcleary,s-5983fdf2cd50be45,coinfello,CoinFello,0.2.1,0,0,0,brettcleary
cold-email,1,1,cs-cold-email,cold-email,1.0.0,116,5,0,alirezarezvani,s-bd901510bdd98d74,cold-email,冷邮件营销,1.3.0,11,11798,11794,coreyhaines31
colorkit,1,1,colorkit,ColorKit,0.1.0,783,9,0,szpakkamil,s-827d6e36850fe636,colorkit,ColorKit,0.1.0,0,0,0,szpakkamil
colormind,1,1,colormind,Colormind,1.1.1,516,19,0,boilerrat,s-e1980fb408d52c28,colormind,色彩智脑,1.1.1,2,0,0,boilerrat
comfyui,2,1,comfyui,ComfyUI,1.0.1,2498,134,0,kelvincai522,s-58fe87a7a2a8de20,comfyui,ComfyUI,1.0.1,2,0,0,kelvincai522
comment-converter,1,1,comment-converter,comment-converter,1.0.1,428,6,0,xammarie,s-f304cfe22d852f9e,comment-converter,Comment Converter,1.0.1,0,0,0,xammarie
competitor-alternatives,1,1,cs-competitor-alternatives,competitor-alternatives,1.0.0,116,2,0,alirezarezvani,s-5c52fa86612de0ac,competitor-alternatives,竞品分析,1.3.0,7,11797,11794,coreyhaines31
conclave,1,1,conclave,conclave,2.48.0,3151,404,0,rxbt,s-9a93a6cb97ef0b4e,conclave,Conclave,2.48.0,1,0,0,rxbt
confluence,4,1,confluence,Confluence,1.1.0,2756,114,1,francisbrero,s-7d27f123691b1e58,confluence,Confluence,1.0.0,0,0,0,tree
consilium,1,1,consilium,Consilium,1.1.0,308,9,2,morozsm,s-c4cb99a78e1cc5f5,consilium,Consilium,1.1.0,0,0,0,morozsm
content-strategy,1,1,cs-content-strategy,content-strategy,1.0.0,108,2,0,alirezarezvani,s-26d5933bbc822a74,content-strategy,内容策略,1.3.0,23,11800,11794,coreyhaines31
cookidoo,1,1,tmx-cli,Cookidoo,0.1.0,812,5,0,lars147,s-194a77a40ce2283a,cookidoo,Cookidoo,1.0.0,0,0,0,tree
copyku,1,1,copyku,Copyku,1.5.1,470,21,0,khamalismadie,s-12ae06281b210532,copyku,Copyku,1.5.1,0,0,0,khamalismadie
copywriter,1,1,copywriter,copywriter,1.1.0,8914,1627,8,killerapp,s-a52b0ae5cb3f4d08,copywriter,copywriter,1.0.0,1,0,0,2356208898
copywriting,3,1,copywriting,Copywriting,0.1.0,11245,2051,23,jk-0001,s-413c3de29d78318e,copywriting,营销文案,1.3.0,35,11801,11794,coreyhaines31
crawl4ai,1,1,crawl4ai,Crawl4ai,1.0.0,1545,83,2,codylrn804,s-66c1f5e27367eec8,crawl4ai,Crawl4ai,1.0.0,0,0,0,codylrn804
cross-ref,1,1,cross-ref,cross-ref,1.1.0,363,9,0,glucksberg,s-93bbc7f7d6a39a80,cross-ref,Cross Ref,1.0.0,0,0,0,tree
crustafarianism,1,1,crustafarianism,Crustafarianism,1.2.3,2125,54,1,dvdegenz,s-b16db47b7816adfb,crustafarianism,Crustafarianism,1.2.3,1,1,1,dvdegenz
dashlane,1,1,dashlane,Dashlane,1.0.0,1793,29,1,gnarco,s-49ecc4d5fe5cb7b8,dashlane,Dashlane,1.0.0,0,0,0,tree
dataforseo-cli,1,1,dataforseo-cli,dataforseo-cli,1.0.7,464,4,2,alexgusevski,s-ef50688aba740e56,dataforseo-cli,Dataforseo Cli,1.0.7,2,0,0,alexgusevski
ddgs-search,1,1,ddgs-search,ddgs-search,1.2.0,792,12,2,camopel,s-ace7ff7df64afbe8,ddgs-search,Ddgs Search,1.2.0,43,14,0,camopel
decision-log,1,1,decision-log,decision-log,1.0.1,507,9,0,mupengi-bot,s-6be85d39f8167a9e,decision-log,decision-log,1.0.0,1,0,0,2356208898
delegation,1,1,delegation,Delegation,0.1.0,1192,47,2,michaelmonetized,s-7255bca4e002bc1a,delegation,Delegation,0.1.0,0,0,0,michaelmonetized
deploydevnlu,1,1,deploydevnlu,Deploydevnlu,1.0.4,405,15,0,yusong-7456,s-954b8771b596805e,deploydevnlu,Deploydevnlu,1.0.0,0,0,0,tree
deslop,1,1,deslop,Deslop,1.0.0,284,12,0,brennerspear,s-40babee5efe7192c,deslop,Deslop,1.0.0,0,0,0,brennerspear
deso-research,1,1,deso-research,deso-research,1.0.0,775,9,2,mtple,s-a2a7fcc3b1a4946d,deso-research,Deso Research,1.0.0,3,0,0,mtple
devrev,2,1,devrev,DevRev,1.0.0,362,5,0,nimit2801,s-53ae6c94bd3c9139,devrev,DevRev,1.0.0,0,0,0,nimit2801
devtopia,1,1,devtopia,Devtopia,1.0.1,585,5,0,npmrunspirit,s-6f8553832e93dfc0,devtopia,Devtopia,1.0.1,0,0,0,npmrunspirit
diagram-generator,1,1,diagram-generator,diagram-generator,1.1.1,14510,1733,26,matthewyin,s-0066efcc74042f95,diagram-generator,diagram-generator,1.0.0,149,81,54,GBSOSS
dianping-query,1,1,dianping-query,Dianping-query,1.0.0,1712,44,0,guogang1024,s-ecb10f3b63da6ad1,dianping-query,Dianping-query,1.0.0,2,1,0,guogang1024
digitalocean,1,1,digitalocean,DigitalOcean,1.0.0,845,12,2,rexlunae,s-08ab96ffcfb53418,digitalocean,DigitalOcean,1.0.0,0,0,0,rexlunae
docling,1,1,docling,Docling,1.0.2,994,128,0,er3mit4,s-6c32ee892e2c08b8,docling,Docling,1.0.2,0,0,0,er3mit4
docsync,1,1,docsync,DocSync,1.0.1,540,4,0,suhteevah,s-27a843a7514ce27d,docsync,Docsync,1.0.0,0,0,0,tree
docx,2,1,doc-converter,docx,1.0.0,1132,838,0,ytyytt520,s-59f52c0f87ad0e4a,docx,Docx,0.1.0,6,0,0,seanphan
ds160-autofill,1,1,ds160-autofill,ds160-autofill,1.0.0,930,25,0,clulessboy,s-f2b265cb28439756,ds160-autofill,Ds160 Autofill,1.0.0,0,0,0,clulessboy
dungeons-and-lobsters,1,1,dungeons-and-lobsters,dungeons-and-lobsters,1.0.0,1610,69,1,d-l-leapyear,s-97f8ead52e623e2c,dungeons-and-lobsters,Dungeons And Lobsters,1.0.0,1,0,0,d-l-leapyear
dupe,1,1,dupe,Dupe,1.0.0,717,11,4,crisanmm,s-31b87449fa8fb51e,dupe,Dupe,1.0.0,0,0,0,crisanmm
echodecks,1,1,echodecks,EchoDecks,1.0.2,1554,70,1,drgeld,s-8764e94a3152234f,echodecks,Echodecks,1.0.0,0,0,0,tree
eightctl,1,1,eightctl,Eightctl,1.0.0,7204,1578,6,steipete,s-637492e23ab9c664,eightctl,八控,1.0.0,2,0,0,steipete
elliott-wave-principle,1,1,elliott-wave-principle,elliott-wave-principle,1.0.0,407,17,0,raeed44-creator,s-69fbcd98afc53c0a,elliott-wave-principle,Elliott Wave Principle,1.0.0,3,1,0,raeed44-creator
email,1,1,email-skill,Email,0.1.0,322,23,0,awspace,s-c45bb2c6924d34b4,email,email,1.0.0,6,2,0,mao_xiaolv
employee-skills-importer,1,1,employee-skills-importer,employee-skills-importer,1.0.0,442,9,0,inna-demidova,s-fbc7ce863c0c4616,employee-skills-importer,Employee Skills Importer,1.0.0,0,0,0,inna-demidova
endpoints,1,1,endpoints,Endpoints,1.0.0,1697,23,1,adamkristopher,s-8c0a27c18148e7cc,endpoints,Endpoints,1.0.0,0,0,0,adamkristopher
entradex,1,1,entradex,EntradeX,0.1.16,313,7,2,hieuhani,s-c34b1d4fae6f81da,entradex,EntradeX,0.1.16,2,0,0,hieuhani
