normalized_name,skillhub_slug,skillhub_name,skillhub_version,skillhub_downloads,openclawmp_id,openclawmp_name,openclawmp_version,openclawmp_installs
beestat,beestat,Beestat,0.1.0,1669,s-6735ccf35e122bb2,beestat,1.0.0,0
bexio,bexio-integration,Bexio,1.0.0,84,s-789e5aa0176e97ae,bexio,1.0.0,0
bioskills,bioskills,BioSkills,3.0.0,804,s-97857463a4bb54a1,bioskills,3.0.0,3
birdfolio,birdfolio,Birdfolio,1.0.0,431,s-e9d03d913aa6c5ce,birdfolio,1.0.0,1
bitnote,bitnote,BitNote,1.0.2,332,s-dd7f8814e36cb9f9,bitnote,1.0.2,0
blackjack,blackjack,blackjack,0.3.2,357,s-73323ce3bfe62457,blackjack,0.2.8,9
boltzpay,boltzpay,BoltzPay,0.1.2,149,s-386517c4c67538b3,boltzpay,1.0.0,0
botbrag,botbrag,BotBrag,1.0.0,410,s-ae4699e3871b487f,botbrag,1.0.0,4
botworld,botworld,BotWorld,1.2.1,516,s-a7ad88a0ff0935bc,botworld,1.0.0,0
brainrepo,brainrepo,BrainRepo,1.0.0,2079,s-048514d4e1586f94,brainrepo,1.0.0,1
brevo,brevo,Brevo,1.0.0,2039,s-e42ec45e0028876e,brevo,1.0.0,2
brevo,brevo-api,Brevo,1.0.2,3427,s-e42ec45e0028876e,brevo,1.0.0,2
brevo,brevo-integration,Brevo,1.0.0,107,s-e42ec45e0028876e,brevo,1.0.0,2
briefing,briefing-skill,briefing,1.0.9,265,s-177061fde8cfbc2f,briefing,2.1.0,0
browsh,browsh,browsh,1.0.0,7227,s-a8482074284ece11,browsh,1.0.0,0
budget,budget-pro,Budget,2.1.0,162,s-4e3e10e58dae65c2,budget,1.0.0,0
buildlog,buildlog,buildlog,1.0.1,2472,s-3eb08ca9aa5809e7,buildlog,1.0.0,0
byterover,byterover,ByteRover,2.0.0,29806,s-127308430dc1b6c1,byterover,2.0.0,9
calcom,calcom-integration,Calcom,1.0.0,122,s-089ed6bd5aeb778b,calcom,1.0.0,1
calcurse,calcurse,calcurse,1.0.0,2016,s-6d37f5ade6e9322b,calcurse,1.0.0,0
calendar,brainz-calendar,Calendar,1.0.0,1823,s-3ee5334f5eb638f2,calendar,1.0.0,3
calendar,calendar,Calendar,1.0.0,8242,s-3ee5334f5eb638f2,calendar,1.0.0,3
calendar,ws-calendar,Calendar,1.0.0,100,s-3ee5334f5eb638f2,calendar,1.0.0,3
calmly,calmly,calmly,1.3.0,452,s-450877de791954c1,calmly,1.0.0,0
camera,camera,Camera,1.0.0,1262,s-e65dc51586b863ea,camera,1.0.0,1
camoufox,camoufox,Camoufox,1.0.0,2323,s-793de045d35155e7,camoufox,1.0.0,0
camsnap,camsnap,Camsnap,1.0.0,11485,s-87ea618f9880b8f1,camsnap,1.0.0,1
cashu,cashu,Cashu,0.19.6,730,s-4fcbd3ae9cb1db17,cashu,0.19.6,0
catallax,catallax,Catallax,1.0.0,771,s-0d23f2c5a33be2b6,catallax,1.0.0,1
catime,catime,catime,0.5.0,860,s-888c7345cb531772,catime,0.5.0,0
charts,charts,Charts,1.1.0,733,s-65b630e30251bf03,charts,1.1.0,0
charts,ws-charts,Charts,1.0.0,108,s-65b630e30251bf03,charts,1.1.0,0
chilledsites,chilledsites,ChilledSites,1.0.0,812,s-577d43c55921dd63,chilledsites,1.0.0,1
chinese-ai-agent-guide,chinese-ai-agent-guide,chinese-ai-agent-guide,1.0.0,733,s-168baa374751170e,chinese-ai-agent-guide,1.0.0,6
chitin,chitin,Chitin,1.1.0,2525,s-7ae9e0eaa868255d,chitin,1.0.5,0
chitin,chitin-id,Chitin,1.2.3,720,s-7ae9e0eaa868255d,chitin,1.0.5,0
churn-prevention,cs-churn-prevention,churn-prevention,1.0.0,116,s-3d285715e618e7da,churn-prevention,1.3.0,9
clanker,clanker,Clanker,1.0.0,1486,s-b7b9b427cd4eae64,clanker,1.0.0,1
claude-usage-cli,claude-usage-cli,claude-usage-cli,0.2.0,867,s-27fcc1879561303f,claude-usage-cli,0.2.0,3
clawaudit,clawaudit,Clawaudit,0.1.0,1554,s-5c575b2a99b1c911,clawaudit,1.0.0,0
clawdbot-macos-build,clawdbot-macos-build,clawdbot-macos-build,1.0.0,1821,s-7152c5f5238b6d86,clawdbot-macos-build,1.0.0,0
clawder,clawder,clawder,1.0.1,1872,s-0bc2ee3ea75c2152,clawder,1.0.1,2
clawdgigs,clawdgigs,Clawdgigs,1.4.0,2448,s-2b57ae1dc26be840,clawdgigs,1.0.0,0
clawemail,claw,ClawEmail,1.0.1,1213,s-2ed1bf84341713e2,clawemail,1.0.0,0
clawemail,clawemail,Clawemail,1.0.1,1402,s-2ed1bf84341713e2,clawemail,1.0.0,0
clawfriend,clawfriend,ClawFriend,1.1.2,2877,s-90ade108a30bf954,clawfriend,1.1.0,1
clawgang,clawgang,ClawGang,1.0.1,1601,s-2970395f62aac948,clawgang,1.0.0,0
clawquests,clawquests,Clawquests,1.0.2,1932,s-deac927091d04d99,clawquests,1.0.2,1
clawquests,clawquests-xyz,ClawQuests,1.6.0,1021,s-deac927091d04d99,clawquests,1.0.2,1
client-flow,client-flow,client-flow,1.0.0,474,s-3019580938d69e00,client-flow,1.0.0,0
clipboard,clipboard,Clipboard,1.0.0,2535,s-9d20d8549db198e2,clipboard,1.0.0,0
cloudmonkey,cloudmonkey,cloudmonkey,1.0.0,456,s-79197fd59fbcc0c9,cloudmonkey,1.0.0,0
clovercli,clovercli,Clovercli,1.0.0,1273,s-f1ff6e5c487ab0c4,clovercli,1.0.0,1
code-reviewer,cs-code-reviewer,code-reviewer,1.0.0,158,s-05908b3d7bd3f451,code-reviewer,1.0.0,26
codifica,codifica,Codifica,1.0.1,384,s-9f67b74c989d80e5,codifica,1.0.1,1
coinfello,coinfello,CoinFello,0.2.1,570,s-5983fdf2cd50be45,coinfello,0.2.1,0
cold-email,cs-cold-email,cold-email,1.0.0,116,s-bd901510bdd98d74,cold-email,1.3.0,11
colorkit,colorkit,ColorKit,0.1.0,783,s-827d6e36850fe636,colorkit,0.1.0,0
colormind,colormind,Colormind,1.1.1,516,s-e1980fb408d52c28,colormind,1.1.1,2
comfyui,comfyui,ComfyUI,1.0.1,2498,s-58fe87a7a2a8de20,comfyui,1.0.1,2
comfyui,comfyui-pro,Comfyui,2.0.0,75,s-58fe87a7a2a8de20,comfyui,1.0.1,2
comment-converter,comment-converter,comment-converter,1.0.1,428,s-f304cfe22d852f9e,comment-converter,1.0.1,0
competitor-alternatives,cs-competitor-alternatives,competitor-alternatives,1.0.0,116,s-5c52fa86612de0ac,competitor-alternatives,1.3.0,7
conclave,conclave,conclave,2.48.0,3151,s-9a93a6cb97ef0b4e,conclave,2.48.0,1
confluence,confluence,Confluence,1.1.0,2756,s-7d27f123691b1e58,confluence,1.0.0,0
confluence,confluence-2,Confluence,0.1.1,153,s-7d27f123691b1e58,confluence,1.0.0,0
confluence,confluence-api,Confluence,1.0.0,484,s-7d27f123691b1e58,confluence,1.0.0,0
confluence,confluence-integration,Confluence,1.0.0,171,s-7d27f123691b1e58,confluence,1.0.0,0
consilium,consilium,Consilium,1.1.0,308,s-c4cb99a78e1cc5f5,consilium,1.1.0,0
content-strategy,cs-content-strategy,content-strategy,1.0.0,108,s-26d5933bbc822a74,content-strategy,1.3.0,23
cookidoo,tmx-cli,Cookidoo,0.1.0,812,s-194a77a40ce2283a,cookidoo,1.0.0,0
copyku,copyku,Copyku,1.5.1,470,s-12ae06281b210532,copyku,1.5.1,0
copywriter,copywriter,copywriter,1.1.0,8914,s-a52b0ae5cb3f4d08,copywriter,1.0.0,1
copywriting,copywriting,Copywriting,0.1.0,11245,s-413c3de29d78318e,copywriting,1.3.0,35
copywriting,copywritings,Copywriting,1.0.0,991,s-413c3de29d78318e,copywriting,1.3.0,35
copywriting,cs-copywriting,copywriting,1.0.0,111,s-413c3de29d78318e,copywriting,1.3.0,35
crawl4ai,crawl4ai,Crawl4ai,1.0.0,1545,s-66c1f5e27367eec8,crawl4ai,1.0.0,0
cross-ref,cross-ref,cross-ref,1.1.0,363,s-93bbc7f7d6a39a80,cross-ref,1.0.0,0
crustafarianism,crustafarianism,Crustafarianism,1.2.3,2125,s-b16db47b7816adfb,crustafarianism,1.2.3,1
dashlane,dashlane,Dashlane,1.0.0,1793,s-49ecc4d5fe5cb7b8,dashlane,1.0.0,0
dataforseo-cli,dataforseo-cli,dataforseo-cli,1.0.7,464,s-ef50688aba740e56,dataforseo-cli,1.0.7,2
ddgs-search,ddgs-search,ddgs-search,1.2.0,792,s-ace7ff7df64afbe8,ddgs-search,1.2.0,43
decision-log,decision-log,decision-log,1.0.1,507,s-6be85d39f8167a9e,decision-log,1.0.0,1
delegation,delegation,Delegation,0.1.0,1192,s-7255bca4e002bc1a,delegation,0.1.0,0
deploydevnlu,deploydevnlu,Deploydevnlu,1.0.4,405,s-954b8771b596805e,deploydevnlu,1.0.0,0
deslop,deslop,Deslop,1.0.0,284,s-40babee5efe7192c,deslop,1.0.0,0
deso-research,deso-research,deso-research,1.0.0,775,s-a2a7fcc3b1a4946d,deso-research,1.0.0,3
devrev,devrev,DevRev,1.0.0,362,s-53ae6c94bd3c9139,devrev,1.0.0,0
devrev,devrev-integration,Devrev,1.0.0,79,s-53ae6c94bd3c9139,devrev,1.0.0,0
devtopia,devtopia,Devtopia,1.0.1,585,s-6f8553832e93dfc0,devtopia,1.0.1,0
diagram-generator,diagram-generator,diagram-generator,1.1.1,14510,s-0066efcc74042f95,diagram-generator,1.0.0,149
dianping-query,dianping-query,Dianping-query,1.0.0,1712,s-ecb10f3b63da6ad1,dianping-query,1.0.0,2
digitalocean,digitalocean,DigitalOcean,1.0.0,845,s-08ab96ffcfb53418,digitalocean,1.0.0,0
docling,docling,Docling,1.0.2,994,s-6c32ee892e2c08b8,docling,1.0.2,0
docsync,docsync,DocSync,1.0.1,540,s-27a843a7514ce27d,docsync,1.0.0,0
docx,doc-converter,docx,1.0.0,1132,s-59f52c0f87ad0e4a,docx,0.1.0,6
docx,docx-2,Docx,0.1.0,216,s-59f52c0f87ad0e4a,docx,0.1.0,6
ds160-autofill,ds160-autofill,ds160-autofill,1.0.0,930,s-f2b265cb28439756,ds160-autofill,1.0.0,0
dungeons-and-lobsters,dungeons-and-lobsters,dungeons-and-lobsters,1.0.0,1610,s-97f8ead52e623e2c,dungeons-and-lobsters,1.0.0,1
dupe,dupe,Dupe,1.0.0,717,s-31b87449fa8fb51e,dupe,1.0.0,0
echodecks,echodecks,EchoDecks,1.0.2,1554,s-8764e94a3152234f,echodecks,1.0.0,0
eightctl,eightctl,Eightctl,1.0.0,7204,s-637492e23ab9c664,eightctl,1.0.0,2
elliott-wave-principle,elliott-wave-principle,elliott-wave-principle,1.0.0,407,s-69fbcd98afc53c0a,elliott-wave-principle,1.0.0,3
email,email-skill,Email,0.1.0,322,s-c45bb2c6924d34b4,email,1.0.0,6
employee-skills-importer,employee-skills-importer,employee-skills-importer,1.0.0,442,s-fbc7ce863c0c4616,employee-skills-importer,1.0.0,0
endpoints,endpoints,Endpoints,1.0.0,1697,s-8c0a27c18148e7cc,endpoints,1.0.0,0
entradex,entradex,EntradeX,0.1.16,313,s-c34b1d4fae6f81da,entradex,0.1.16,2
envios,envios,Envios,1.0.0,384,s-0a63fb97b03eae09,envios,1.0.0,0
evoagentx,evoagentx,Evoagentx,1.0.1,410,s-578e48972560482a,evoagentx,1.0.1,0
exchange2010,exchange2010,Exchange2010,1.0.0,1018,s-f236c4ca877870bc,exchange2010,1.0.0,0
ez-google,ez-google,ez-google,1.0.2,2442,s-ff52b781a4c68c2a,ez-google,1.0.2,0
ezyhost,ezyhost,EzyHost,1.0.3,525,s-931fedc5e5a668ff,ezyhost,1.0.3,1
facebook,facebook,Facebook,1.0.1,3346,s-35a569902cc0cb75,facebook,1.0.0,0
farseek,farseek,Farseek,1.0.0,386,s-b573f2eed44ca14a,farseek,1.0.0,0
fathom,fathom,Fathom,1.0.0,2036,s-4d5b74f5ed490dd9,fathom,1.0.0,0
fathom,fathom-api,Fathom,1.0.5,15514,s-4d5b74f5ed490dd9,fathom,1.0.0,0
fathom,fathom-meetings,Fathom,1.0.0,438,s-4d5b74f5ed490dd9,fathom,1.0.0,0
feed-diet,feed-diet,feed-diet,0.2.1,408,s-62a02f430c4fddf3,feed-diet,0.2.1,1
feishui-file-sender,feishui-file-sender,feishui-file-sender,1.0.0,337,s-77c49983b40bc437,feishui-file-sender,1.0.0,0
ffcli,ffcli,Ffcli,1.0.1,575,s-e6ee6b7a8ecdf17c,ffcli,1.0.1,2
file-repair-skill,file-repair-skill,file-repair-skill,1.0.6,1517,s-d09d04793487f79f,file-repair-skill,1.0.6,3
filesystem,filesystem,Filesystem,1.0.0,7478,s-98c3b742887fe9a6,filesystem,1.0.0,6
fin-cog,fin-cog,fin-cog,1.0.1,1731,s-0debabb2e2ae280c,fin-cog,1.0.1,3
find-products,find-products,find-products,1.0.0,1000,s-dc6b0fbbad022f6f,find-products,1.0.0,1
find-skills,find-skills1,find-skills,1.0.0,138,s-db6bcbc26d0ee5f5,find-skills,1.0.0,211
find-slills,find-slills,find-slills,1.0.0,548,s-9fb6364368c0a558,find-slills,1.0.0,0
firecrawl,firecrawl-api,Firecrawl,1.0.0,212,s-4295b2ae265c2ae3,firecrawl,1.0.0,0
firmenbuchat,firmenbuchat,firmenbuchat,0.2.3,1525,s-f6b36dc7f900b804,firmenbuchat,0.2.3,1
fitbit,fitbit,Fitbit,0.1.0,2108,s-4d63f92467a537c4,fitbit,1.0.0,0
fleet,fleet,fleet,3.0.4,444,s-8e6a1cd19e92095d,fleet,1.0.0,0
flux,flux,Flux,2.3.0,1088,s-46d27e5aaa384168,flux,2.3.0,1
focusnoteapp,focusnoteapp,focusnoteapp,1.0.0,758,s-56d98fd655b9cfb2,focusnoteapp,1.0.0,0
forge,forge,Forge,1.0.0,1107,s-b44f4f1b36d21386,forge,1.0.0,0
forgejo,forgejo,Forgejo,0.1.0,854,s-6e47151476870d1e,forgejo,0.1.0,0
forkzoo,forkzoo,ForkZoo,1.0.0,1372,s-b1bf04738cd4c16a,forkzoo,1.0.0,0
forkzoo,forkzoo-skill,ForkZoo,1.0.0,1190,s-b1bf04738cd4c16a,forkzoo,1.0.0,0
foxreach,foxreach,Foxreach,0.1.1,467,s-4459e4ae79a4b094,foxreach,0.1.1,0
frankenstein,frankenstein,Frankenstein,1.2.0,1145,s-3aeac48638853212,frankenstein,1.2.0,1
frappecli,frappecli,Frappecli,0.1.1,1923,s-19b9ebdfd8cda61e,frappecli,0.1.1,1
freepik,freepik,Freepik,1.0.5,627,s-15d1d3fab39002af,freepik,1.0.0,0
fullbackup,fullbackup,fullbackup,0.1.0,849,s-46b11072a7bcbbb3,fullbackup,0.1.0,1
gamma,gamma,Gamma,1.0.0,3358,s-37881a53e0fd3e0c,gamma,1.0.0,1
garmer,garmer,Garmer,1.0.2,1812,s-81550c0e46ba792a,garmer,1.0.0,0
geo,geo,GEO,1.0.0,526,s-45e2dbe6ee985713,geo,1.0.0,6
geometry,geometry,Geometry,1.0.0,373,s-271c8819ceeb0cb2,geometry,1.0.0,0
gifhorse,gifhorse,GifHorse,1.2.0,2206,s-649a3ae9c9f15d74,gifhorse,1.0.0,0
gina,gina,gina,0.1.0,392,s-9dbd3407b2a1ba94,gina,0.1.0,0
gitbackup,gitbackup,gitbackup,0.1.0,862,s-7d0fa7c9de160cdb,gitbackup,1.0.0,0
github,github,Github,1.0.0,114411,s-32c05372db01f4b0,github,1.0.0,25
github,github-api,GitHub,1.0.3,13353,s-32c05372db01f4b0,github,1.0.0,25
github,github-integration,Github,1.0.0,246,s-32c05372db01f4b0,github,1.0.0,25
github,laomo-github,Github,2.0.0,48,s-32c05372db01f4b0,github,1.0.0,25
github,nidhov01-github,Github,1.0.0,27,s-32c05372db01f4b0,github,1.0.0,25
glm-web-search,glm-web-search,glm-web-search,1.0.6,972,s-d219575a2e3b0b58,glm-web-search,2.1.0,112
goalgetter,goalgetter,GoalGetter,1.0.0,448,s-da3b618bf8bbba47,goalgetter,1.0.0,6
gog,gog,Gog,1.0.0,117194,s-8a729b06ca75b108,gog,1.0.0,49
goldenseed,goldenseed,GoldenSeed,1.1.0,903,s-a872cbf6c9f5ea0c,goldenseed,1.1.0,0
google-search,google-search,google-search,1.0.0,11799,s-f03159f5452dad39,google-search,1.0.0,1
gotify,gotify,Gotify,1.0.1,2338,s-cb57fef764939bde,gotify,1.0.0,0
gotrain,gotrain,gotrain,1.3.0,2398,s-d9741d778ce54305,gotrain,1.3.0,2
gradientdesires,gradientdesires,GradientDesires,1.2.0,451,s-b2a1ffa56a74c284,gradientdesires,1.2.0,0
gradientdesires,gradientdesires-skill,GradientDesires,1.1.0,177,s-b2a1ffa56a74c284,gradientdesires,1.2.0,0
greptile,greptile,Greptile,1.0.1,496,s-165f9fba924ba33f,greptile,1.0.1,5
gsd,glittercowboy,gsd,1.0.0,534,s-6c77f3ecc75d3ea6,gsd,1.0.1,5
habib-pdf-to-json,habib-pdf-to-json,habib-pdf-to-json,1.0.0,868,s-d9ffcb2d64931b4c,habib-pdf-to-json,1.0.0,0
habitchat,habitchat,HabitChat,1.0.0,431,s-ad0cdbb342be911a,habitchat,1.0.0,2
hackathon,aegis-security-hackathon,Hackathon,1.0.0,1076,s-ff944ea3611555f7,hackathon,1.0.6,2
hackathon,hackathon,Hackathon,1.0.6,1003,s-ff944ea3611555f7,hackathon,1.0.6,2
hackmd,hackmd,HackMD,1.0.0,792,s-e1f6e577d7e35b55,hackmd,1.0.0,1
happenstance,happenstance,Happenstance,1.0.0,429,s-e08adb16efb6d146,happenstance,1.0.0,1
health-sync,health-sync,health-sync,0.3.5,656,s-e454af0441fb17ed,health-sync,0.3.5,0
hello-world-skill,hello-world-skill,hello-world-skill,1.0.0,148,s-ec304b5b07ca0756,hello-world-skill,1.0.0,2
hello-world-skill,hello-world-skill,hello-world-skill,1.0.0,148,s-c43699e1e3a7bcef,hello-world-skill,1.0.0,1
himalaya,himalaya,Himalaya,1.0.0,28396,s-b134a6c7f9468c56,himalaya,1.0.0,3
homebrew,brew,Homebrew,1.0.0,79,s-6fc168fb4ce190a6,homebrew,1.0.1,1
homey,homey,Homey,1.1.2,2590,s-187e99c66e2eed8e,homey,1.0.0,0
huckleberry,huckleberry,Huckleberry,1.0.1,1738,s-cee339c3d1b072e7,huckleberry,1.0.0,0
huckleberry,openclaw-huckleberry-skill,Huckleberry,0.1.0,1342,s-cee339c3d1b072e7,huckleberry,1.0.0,0
humanizer,deai-ify,Humanizer,3.0.3,213,s-7e817fb6a17243bd,humanizer,1.0.0,1
humanizer,humanizer,Humanizer,1.0.0,58184,s-7e817fb6a17243bd,humanizer,1.0.0,1
humanizer,humanizer-2,Humanizer,0.1.0,507,s-7e817fb6a17243bd,humanizer,1.0.0,1
